video_name,answer,question,question_breakdown
v_34SBoGK8mT8,"The little girl is playing hopscotch on a court drawn on the ground, picking up and throwing a pebble a few times before successfully landing it in a square and hopping to that square.",Can you describe the actions of the little girl in the video?,"1. Identify the main subject in the video (the little girl).
2. Observe the setting and context of the video (e.g., location, time of day).
3. Note the little girl's physical appearance and clothing.
4. Watch for the little girl's actions and movements (e.g., running, jumping, playing).
5. Pay attention to the little girl's interactions with other characters or objects in the video.
6. Observe the little girl's facial expressions and emotions during the actions.
7. Summarize the sequence of actions performed by the little girl in chronological order.
8. Highlight any significant or notable moments in her actions."
v_j_r7zJWxI8w,The man wearing the Adidas blue t-shirt makes a hole in the beer can using a key and drinks from it.,What is the color of the shirt worn by the man picking up the beer can?,"1. Identify the scene or image where a man is present.
2. Locate the man within the scene.
3. Observe the clothing worn by the man, specifically focusing on the shirt.
4. Determine the color of the shirt.
5. Confirm that the man is engaged in the action of picking up a beer can."
v_Fb4X1PWfOvY,"The woman is wearing a neon green T-shirt, black track pants with white stripes, and white sports shoes.",What color clothes is the woman wearing while exercising on the parallel bars in the park?,
v_YU-dUWGOoD4,The gymnast is getting ready to perform on a pommel horse.,What kind of apparatus is the gymnast getting ready to perform on?,"1. Identify the context of the gymnast's performance.
2. Look for any visible apparatus or equipment in the scene.
3. Determine the type of apparatus based on its characteristics (e.g., balance beam, uneven bars, floor mat, etc.).
4. Analyze the gymnast's position and movements to infer the specific apparatus being prepared for.
5. Confirm the identification by cross-referencing with common gymnastics apparatus types."
v_qmfZw9eEpIU,The man is windsurfing on a red board with an attached sail.,What is the color of the windsurfing board the man is using?,"1. Identify the man in the image or video.
2. Locate the windsurfing board associated with the man.
3. Observe the color of the windsurfing board.
4. Record the observed color of the windsurfing board."
v_TNqc2yWZztE,"In the video, a woman is gift-wrapping boxes using gift-wrapping paper and tape.",Can you describe the process shown in the video?,"1. Identify the main subject or theme of the video.
2. Observe the sequence of events or actions presented in the video.
3. Note any key components, tools, or materials involved in the process.
4. Pay attention to any specific techniques or methods demonstrated.
5. Look for any visual cues or indicators that highlight important steps.
6. Summarize the beginning, middle, and end of the process shown in the video.
7. Highlight any challenges or obstacles encountered during the process.
8. Conclude with the final outcome or result of the process depicted in the video."
v_dhsSq0K1xEg,'GUNS-N-ROSES' with a rose drawn underneath is written on the decorated saxophone case.,Can you describe the decoration on the saxophone case?,"1. Identify the saxophone case in the visual input.
2. Observe the overall shape and structure of the case.
3. Examine the color of the case.
4. Look for any patterns or designs on the surface of the case.
5. Note any logos, text, or branding present on the case.
6. Check for additional decorative elements, such as stitching, patches, or embellishments.
7. Assess the condition of the decoration (e.g., new, worn, faded).
8. Summarize the findings regarding the decoration on the saxophone case."
v_mShp2gzuPOM,"The video shows a girl playing badminton in a gym with people standing at the edges, a woman taking pictures near the netting, a scoreboard at the top of the wall, an American flag hung vertically, and retracted bleachers to the left.",Can you describe the surroundings of the girl playing badminton in the video?,"1. Identify the main subject in the video: the girl playing badminton.
2. Observe the immediate environment around the girl.
3. Note the type of location (e.g., indoor court, outdoor park, backyard).
4. Describe the background elements (e.g., trees, buildings, other people).
5. Look for any objects or equipment present (e.g., badminton net, shuttlecock, rackets).
6. Assess the lighting conditions (e.g., natural light, artificial light).
7. Consider the weather conditions if the setting is outdoors (e.g., sunny, cloudy, rainy).
8. Observe any additional activities or interactions happening in the vicinity.
9. Summarize the overall atmosphere or mood of the surroundings (e.g., lively, quiet, competitive)."
v_IN23CO8Kotk,The parrot is eating cream from a pink coffee cup with a butterfly painted on it.,"On what container is the butterfly painted, that the parrot is eating from on the kitchen counter?",
v_3zpODTqnYLs,The toddler is washing her face with pool water multiple times while sitting on the pool wall while the man holds onto her.,What is the toddler doing in the video?,"1. Identify the main subject in the video (the toddler).
2. Observe the actions or movements of the toddler.
3. Note the environment or setting where the toddler is located.
4. Look for any objects or toys the toddler may be interacting with.
5. Pay attention to the toddler's facial expressions and body language.
6. Determine if there are other people present and their interactions with the toddler.
7. Summarize the key activities or behaviors exhibited by the toddler in the video."
v_QOsG3BeQeX0,The person is wearing a blue shirt and khaki shorts.,Can you describe the person who is swinging from the parallel bars?,"1. Identify the subject of the question: the person swinging from the parallel bars.
2. Observe the physical characteristics of the person, including:
   - Gender
   - Age
   - Body type
   - Clothing
   - Hair color and style
3. Analyze the person's posture and movement while swinging:
   - Position of arms and legs
   - Angle of the body
   - Any specific techniques being used
4. Look for facial expressions or emotions displayed by the person during the activity.
5. Note the environment surrounding the parallel bars:
   - Location (e.g., gym, park)
   - Other people present
   - Equipment or features in the background
6. Summarize the observations into a coherent description of the person and their actions."
v_QT4d1nTQYSE,The artist's name is Jonas Gerard.,What is the name of the artist performing a live painting event?,
v_4mRkWNLE66E,The player in the white number 15 jersey is being pointed to by the red arrow and he scored a goal and celebrated with his teammates at the end of the video.,Which player in white jersey scored a goal and celebrated with his teammates at the end of the video?,
v_w4pO-1-FG5w,The little boy is wearing a blue cape with pictures of animated characters on it at the saloon.,Can you describe the design of the cape that the little boy is wearing at the saloon?,"1. Identify the character in the scene: the little boy.
2. Locate the saloon setting in the visual context.
3. Focus on the cape that the little boy is wearing.
4. Observe the color of the cape.
5. Note the material or texture of the cape.
6. Examine the length and shape of the cape.
7. Look for any patterns, designs, or embellishments on the cape.
8. Consider how the cape is worn (e.g., fastened, draped).
9. Assess the overall style of the cape (e.g., modern, vintage, whimsical).
10. Summarize the visual details of the cape based on the observations."
v_SV3v-nA6hXM,The man is wearing a white shirt with a harness on it and a cap while standing on the bungee platform.,What is the man wearing while standing on the bungee platform?,"1. Identify the subject in the scene: Locate the man standing on the bungee platform.
2. Observe the man's clothing: Focus on the details of what the man is wearing.
3. Note the colors and patterns: Pay attention to the colors, patterns, and styles of the clothing items.
4. Identify specific clothing items: Determine the types of clothing (e.g., shirt, pants, shoes) the man is wearing.
5. Look for accessories: Check if the man is wearing any accessories (e.g., hats, jewelry, goggles).
6. Consider the context: Take into account the environment and activity (bungee jumping) that may influence the man's attire."
v_-uJnucdW6DY,"A group of kids are playing a game of soccer in the grassy field surrounded by a metal fence with light poles. They are passing the ball to each other, kicking it, and running across the field.",What is happening in the video?,"1. Identify the main subject or subjects in the video.
2. Observe the setting or environment where the action is taking place.
3. Note any significant actions or events occurring in the video.
4. Look for interactions between subjects, if applicable.
5. Pay attention to any dialogue or sounds that provide context.
6. Analyze the emotions or expressions of the subjects involved.
7. Consider the overall mood or tone of the video.
8. Summarize the key elements that contribute to the narrative or message of the video."
v_-cAcA8dO7kA,A man is riding a dirt bike in a dirt field with houses visible beyond the field.,What is happening in the beginning of the video?,"1. Identify the video being referenced.
2. Locate the beginning segment of the video.
3. Observe the visual elements present at the start of the video.
4. Note any characters, objects, or settings introduced in the beginning.
5. Analyze the actions or events occurring in the initial scenes.
6. Pay attention to any dialogue or sounds that accompany the visuals.
7. Summarize the key points or themes presented in the beginning of the video."
v_EK7qW-oavQY,Water polo is being played in the swimming pool.,What sport is being played in the pool?,
v_UvOEuhS0V3E,"The woman in the first clip is wearing a white top and applying lipstick in a well-lit room in front of a mirror. The man in the next clip is sitting in front of the same mirror, wearing an olive T-shirt. He removes something from a box and wipes them on his eyebrows one at a time, before eating them.",What is the woman in the first clip wearing and what is she doing?,"1. Identify the first clip in the video.
2. Focus on the woman in the first clip.
3. Observe and describe the clothing the woman is wearing.
   - Note the colors, styles, and any specific details of the clothing.
4. Observe the actions or activities the woman is engaged in.
   - Identify any movements, gestures, or tasks she is performing.
5. Summarize the findings regarding her clothing and actions."
v_tLk0Y04OaCA,"The girl wearing the blue shirt is standing next to a person wearing a grey sweatshirt, and another person wearing a red top is visible in the mirror, holding up a phone and recording.",Who is standing next to the girl wearing the blue shirt?,"1. Identify the girl wearing the blue shirt in the image or scene.
2. Determine the position of the girl in relation to other individuals in the scene.
3. Look for individuals who are standing next to the girl.
4. Identify and label the individual(s) standing next to the girl wearing the blue shirt."
v_RXT17X7lRoQ,The girls on the lacrosse team are wearing black and pink uniforms.,What are the colors of the uniforms worn by the girls on the lacrosse team in the video?,
v_TsHek6oZYXU,The master is wearing a black Tai Chi uniform and the other man is wearing a white Tai Chi uniform.,What is the color of the Tai Chi uniform worn by the master?,
v_-6dz6tBH77I,The man is holding a disk in his right hand.,Can you describe what the man is holding in his right hand in the video?,"1. Identify the man in the video.
2. Focus on the right hand of the man.
3. Observe the object being held in the right hand.
4. Analyze the characteristics of the object (e.g., shape, color, size).
5. Determine the context of the object (e.g., is it a tool, a weapon, a piece of clothing, etc.?).
6. Note any actions or movements associated with the object in the man's hand.
7. Summarize the findings about the object being held in the right hand."
v_z3MP0yJBtGg,"The woman is wearing a black hoodie and jeans skirt and standing in front of a stone dipper well with ladles. There is water in a tank at the top of the dipper. She is standing on a stone floor with a roof. Pillars are visible some distance to her left. A yard is visible outside the structure, with a fence at the end. A tree is visible to the left of the yard.",Can you describe the woman and her surroundings?,"1. Identify the woman in the image or scene.
2. Observe and describe the woman's physical appearance, including features such as hair color, hairstyle, clothing, and any accessories.
3. Analyze the woman's posture and facial expression to convey her emotions or demeanor.
4. Examine the surroundings of the woman, noting the environment (e.g., indoor, outdoor, urban, rural).
5. Describe specific elements in the surroundings, such as objects, colors, and textures.
6. Consider the overall atmosphere or mood of the scene, including lighting and spatial arrangement.
7. Integrate the descriptions of the woman and her surroundings to provide a cohesive narrative."
v_4oi6dXfpJS4,The gymnast is wearing a pink outfit when she mounts the balance beam.,What color outfit is the gymnast wearing when she starts performing on the balance beam?,"1. Identify the gymnast in the video or image.
2. Observe the moment when the gymnast starts performing on the balance beam.
3. Focus on the outfit the gymnast is wearing at that moment.
4. Determine the primary color of the outfit.
5. Note any additional colors or patterns present in the outfit.
6. Describe the overall appearance of the outfit in terms of color."
v_sNJ6_N0j9Ts,The men are wearing shorts and sports shoes.,What are the men wearing while playing squash in the well-lit court?,
v_IDIALY6Ayk8,"The people are at a winery, where they are shown a bottle of wine and then served wine to drink while seated in a dining room.",What activity are the people engaged in at the winery?,
v_sNJ6_N0j9Ts,The men are wearing shorts and sports shoes.,Can you describe the attire of the players on the well-lit squash court?,"1. Identify the setting: Locate the well-lit squash court in the visual input.
2. Observe the players: Find the players present on the squash court.
3. Analyze the attire: Examine the clothing and accessories worn by each player.
4. Note the colors: Identify the colors of the attire worn by the players.
5. Describe the style: Determine the style of the attire (e.g., casual, athletic, formal).
6. Look for specific items: Identify any specific items of clothing (e.g., shirts, shorts, shoes) and accessories (e.g., headbands, wristbands).
7. Consider the context: Take into account any relevant details that may influence the attire (e.g., the level of play, the environment).
8. Compile the observations: Organize the findings into a coherent description of the players' attire."
v_le7JdKQB65I,The woman is wearing a white coat over a teal top.,Can you describe the woman's outfit in the video?,"1. Identify the woman in the video.
2. Observe the overall style of her outfit (casual, formal, sporty, etc.).
3. Note the colors of the clothing items she is wearing.
4. Describe the type of clothing items (e.g., dress, pants, shirt, jacket).
5. Observe any patterns or designs on the clothing (e.g., floral, stripes, solid).
6. Identify the accessories she is wearing (e.g., jewelry, bags, hats).
7. Note the type of footwear she has on (e.g., shoes, boots, sandals).
8. Consider the fit of the clothing (e.g., loose, fitted, oversized).
9. Observe any additional details (e.g., layering, textures, fabric types).
10. Summarize the overall impression of her outfit."
v_wJk3KOUAwXA,"The man is waxing and polishing a wooden table using steel wool, a car buffing wheel, and a wet rag.",What is the man doing in the woodworking shop?,"1. Identify the setting: Look for the woodworking shop environment.
2. Locate the man: Find the individual in the woodworking shop.
3. Observe the man's actions: Focus on what the man is doing.
4. Note any tools or materials: Identify any tools or materials the man is using.
5. Analyze the context: Consider the overall activity or project the man is engaged in.
6. Summarize the actions: Compile the observed actions into a coherent description."
v_bz4QwqHiVlo,The man is wearing a purple shirt while vacuuming in the living room.,Can you describe the outfit of the man who is vacuuming in the living room?,"1. Identify the scene: Locate the living room where the man is vacuuming.
2. Focus on the man: Isolate the figure of the man who is vacuuming.
3. Observe the outfit: Examine the clothing items the man is wearing.
4. Note the colors: Identify the colors of each clothing item.
5. Describe the style: Determine the style of the outfit (e.g., casual, formal, sporty).
6. Identify accessories: Look for any additional items (e.g., shoes, hats, belts) that the man may be wearing.
7. Summarize the outfit: Compile the observations into a coherent description of the man's outfit."
v_VWGV8I5byKI,The man picks up a barbell with weights stacked on either end and lifts it once before dropping it to the ground.,What equipment does the man lift in the gym?,"1. Identify the setting: Look for a gym environment in the visual content.
2. Locate the man: Find the individual who is lifting equipment in the gym.
3. Observe the action: Focus on the specific action of lifting to determine what equipment is being used.
4. Identify the equipment: Analyze the type of equipment being lifted (e.g., weights, machines, bars).
5. Note any additional details: Look for any labels, colors, or distinguishing features of the equipment that may provide more context."
v_T7YcO-sOLuU,"The man is cleaning the shoes using a hand brush, water, and JASON MARKK cleaning solution.",What is the man cleaning the shoes with?,"1. Identify the man in the image or video.
2. Observe the action the man is performing, specifically focusing on the cleaning of shoes.
3. Look for any objects or tools the man is using during the cleaning process.
4. Determine the specific item or substance that the man is using to clean the shoes.
5. Analyze the context to see if there are any additional details about the cleaning process or the items involved."
v_Bkhr72sazvQ,"The man in the video is promoting a weight loss product and talks about ""5 pounds lost in 7 days"".",What is the weight loss product being advertised in the video?,"1. Identify the video being referenced.
2. Analyze the content of the video for any advertisements.
3. Look for visual elements that indicate a weight loss product (e.g., packaging, logos, labels).
4. Listen for any spoken or written mentions of a specific weight loss product.
5. Take note of any testimonials or endorsements related to the product.
6. Compile the information gathered to determine the name of the weight loss product being advertised."
v_Ku76zinwWkg,The girl and the boy are both wearing black outfits while running on the track.,What is the colour of the outfits worn by the girl and the boy on the track?,"1. Identify the scene where the girl and the boy are located on the track.
2. Locate the girl in the scene and observe her outfit.
3. Determine the color of the girl's outfit.
4. Locate the boy in the scene and observe his outfit.
5. Determine the color of the boy's outfit.
6. Compile the colors of both outfits for the final answer."
v_nI6l7BP0odw,The man wearing a Scottish kilt is playing the bagpipe.,What musical instrument is the man playing?,"1. Identify the subject in the image or video (the man).
2. Locate the object the man is interacting with (the musical instrument).
3. Analyze the shape and features of the instrument.
4. Determine the type of instrument based on its characteristics (e.g., string, wind, percussion).
5. Consider any additional context or details that may indicate the specific instrument (e.g., color, size, playing technique).
6. Conclude with the identification of the musical instrument being played by the man."
v_N1_pNhVqG20,"The surfer is windsurfing and performing flips, maneuvers, and jumps, including a one-handed burner where he pushes the sail down and jump-twists on his board.",What is the surfer doing in the video?,"1. Identify the main subject in the video.
2. Observe the actions of the surfer.
3. Note the environment and conditions (e.g., ocean, waves, weather).
4. Look for any specific maneuvers or techniques being performed by the surfer.
5. Determine the surfer's position on the board (e.g., standing, crouching).
6. Assess the interaction between the surfer and the waves.
7. Consider any additional elements in the scene (e.g., other surfers, spectators).
8. Summarize the overall activity or purpose of the surfer in the video."
v_4KMG6lEDSIM,"In the final scene of the video, a man wearing a black gi breaks tiles placed on two cinder blocks.",Can you describe the last martial arts demonstration shown in the video?,"1. Identify the video containing the martial arts demonstration.
2. Locate the section of the video that features the last martial arts demonstration.
3. Observe the participants involved in the demonstration.
4. Note the specific martial arts style being demonstrated.
5. Describe the key movements and techniques performed during the demonstration.
6. Pay attention to the environment and setting of the demonstration.
7. Observe any audience reactions or interactions during the demonstration.
8. Summarize the overall impression and effectiveness of the demonstration."
v_jCxQQ9DMpT0,The man who instructs the archer on how to grip the bow is wearing a blue polo shirt and a grey cap.,Can you describe the clothing of the person who teaches the archer how to hold the bow?,"1. Identify the person who teaches the archer how to hold the bow.
2. Observe the clothing worn by this person.
3. Note the color, style, and type of clothing (e.g., shirt, pants, accessories).
4. Look for any distinctive features or patterns in the clothing.
5. Consider the context of the setting (e.g., outdoor, indoor) that may influence the clothing choice.
6. Summarize the observations about the clothing in a descriptive manner."
v_K6QunmuTZOQ,"The woman is wearing a grey t-shirt and black track pants, standing in a small gym with other exercise equipment around her. Sunlight is streaming from an open door in front of her. ",What is the woman wearing and where is she standing?,"1. Identify the woman in the image or scene.
2. Analyze the clothing items the woman is wearing.
   - Look for details such as color, style, and type of clothing (e.g., dress, shirt, pants).
3. Determine the location where the woman is standing.
   - Observe the background and surroundings to identify specific features or landmarks.
4. Describe the overall appearance of the woman based on her clothing.
5. Describe the setting or environment where the woman is located."
v_lIo8HfzzSNs,"The dressing for the Russian salad was made by mixing two T-spoons of cream, two T-spoons of mayonnaise, salt, and pepper in a glass bowl.",Can you describe the process of making the Russian salad dressing?,
v_tXUssW4vT3o,The belly dancer is wearing a sparkling turquoise-colored dress.,Can you describe the attire of the belly dancer?,"1. Identify the subject of the attire, which is the belly dancer.
2. Observe the overall style of the attire (e.g., traditional, modern, colorful).
3. Note the specific components of the attire (e.g., top, bottom, accessories).
4. Describe the colors and patterns present in the attire.
5. Look for any embellishments or decorations (e.g., sequins, beads, fringe).
6. Consider the fit and silhouette of the attire (e.g., form-fitting, flowing).
7. Observe any additional elements such as headpieces, jewelry, or props.
8. Summarize the overall impression of the attire based on the observations."
v_0DFz3sgfda0,"The girls are making a salad in the kitchen with various ingredients like lettuce, tomatoes, and peanuts.",What are the girls doing with the food items in the kitchen?,
v_4NPVpI9zUpI,Stefan Holm performs the first degree jump in which he runs towards the horizontal bar and successfully jumps over it.,Can you describe the first jump Stefan Holm performs in the video?,"1. Identify the video featuring Stefan Holm.
2. Locate the segment of the video where Stefan Holm performs his first jump.
3. Observe the context and setting of the jump (e.g., location, conditions).
4. Analyze Stefan Holm's approach before the jump (e.g., running speed, technique).
5. Describe the takeoff phase of the jump (e.g., body position, angle of takeoff).
6. Note the height and distance achieved during the jump.
7. Observe the landing phase (e.g., body posture, stability upon landing).
8. Summarize any notable techniques or skills demonstrated during the jump."
v_ooFuSspUuVY,The girl is wearing a white helmet while riding the horse in the video.,Can you describe what the girl is wearing on her head while riding the horse in the video?,"1. Identify the girl in the video.
2. Focus on the girl's head and what is on it.
3. Observe the specific item or items she is wearing on her head.
4. Describe the color, style, and any distinctive features of the headwear.
5. Note any additional context related to the headwear, such as its purpose or significance while riding the horse.
6. Compile the observations into a coherent description."
v_z6pmp8TrAVo,"The man is wearing a grey T-shirt and glasses, and he is washing a plate in a well-lit kitchen with white walls. There is a refrigerator visible at the back, and a potted plant next to the sink.",What is the man wearing while washing a plate in the kitchen?,"1. Identify the setting: Look for the kitchen environment.
2. Locate the man: Find the individual who is washing a plate.
3. Observe the action: Confirm that the man is engaged in the activity of washing a plate.
4. Analyze the clothing: Focus on the man's attire while he is performing the action.
5. Describe the clothing: Note specific items of clothing, colors, and any accessories the man is wearing."
v_UtV69uNmzlE,The woman is shaving her right leg with a razor and dips it into the toilet bowl during the process.,What is the woman doing in the well-lit bathroom?,"1. Identify the setting: Locate the well-lit bathroom in the visual context.
2. Observe the woman: Focus on the woman present in the bathroom.
3. Analyze the woman's actions: Determine what specific actions the woman is performing in the bathroom.
4. Note any objects or features: Look for any items or features in the bathroom that the woman may be interacting with or using.
5. Consider the context: Assess the overall atmosphere and any additional details that may provide context to the woman's actions."
v_ghxiG0Dnrt0,The woman is wearing a black apron over a T-shirt and jeans.,What is the woman wearing while cleaning the sink?,"1. Identify the woman in the scene.
2. Observe the context of the scene to confirm that cleaning the sink is taking place.
3. Focus on the woman's attire during the activity.
4. Note the specific clothing items she is wearing (e.g., top, bottom, apron).
5. Look for any accessories or additional items (e.g., gloves, headwear) that she may be wearing.
6. Describe the colors, patterns, and styles of the clothing and accessories observed."
v_HkbOI7gEtKk,"The video features two women, one wearing a teal top and the other wearing a white one. The woman in the teal top is a beautician and she is demonstrating how to make a cleansing with baking soda while the woman in the white top, the model, follows the instructions by mixing yogurt and baking soda to apply to her face.",Who are the two women in the video and what are they doing?,"1. Identify the video being referenced.
2. Locate the two women featured in the video.
3. Analyze the visual elements to determine the identities of the two women.
4. Observe the actions or activities being performed by the two women in the video.
5. Summarize the findings regarding who the two women are.
6. Summarize the findings regarding what the two women are doing."
v_4-KiAur4dI8,"The event featured in the video is Red Bull CROSSWAYS, as indicated by the logo displayed at the beginning of the video.",What is the name of the event featured in the video?,"1. Identify the video being referenced.
2. Analyze the content of the video for any titles, captions, or text that may indicate the name of the event.
3. Look for visual cues or imagery in the video that may suggest the nature or title of the event.
4. Listen for any spoken words or phrases in the video that may mention the event's name.
5. Compile any findings related to the event's name from the previous steps.
6. Determine the most relevant and accurate name of the event based on the gathered information."
v_HMs703DhjQU,"The man on the left is wearing a black suit, and the man on the right is Will Smith, the actor wearing a multi-colored shirt.",What are the men wearing in the kitchen?,"1. Identify the setting: Locate the kitchen in the visual content.
2. Identify the subjects: Find all the men present in the kitchen.
3. Observe clothing: Focus on the clothing items worn by each man.
4. Describe clothing details: Note the colors, styles, and types of clothing (e.g., shirts, pants, aprons).
5. Summarize findings: Compile a list or description of what each man is wearing."
v_E5YBb4rzV30,"Before adding a can of tuna to the mixing bowl, the woman adds mayonnaise, relish, mustard, celery, and chopped onion. She then arranges lettuce leaves on a plate, places a spoonful of the tuna mixture on each leaf and folds them into wraps.",Can you describe the steps taken by the woman to prepare the tuna wraps?,"1. Identify the woman in the video who is preparing the tuna wraps.
2. Observe the ingredients she uses for the tuna wraps.
3. Note the preparation area and tools she utilizes (e.g., cutting board, knife, mixing bowl).
4. Watch how she opens and drains the tuna can.
5. Observe her method for mixing the tuna with other ingredients (e.g., mayonnaise, vegetables).
6. Look for any additional seasonings or toppings she adds to the mixture.
7. Identify the type of wraps or tortillas she uses.
8. Observe how she spreads the tuna mixture onto the wraps.
9. Note the technique she uses to roll or fold the wraps.
10. Watch if she cuts the wraps into smaller pieces for serving.
11. Observe any final presentation or garnishing steps she takes before serving."
v_6utacRir3uM,People are working out in a well-lit aerobics studio using aerobic steps with an instructor giving instructions. A man falls down while trying to follow the instructor and receives help from the instructor and some other participants.,Can you describe the people and their workout in the aerobics studio?,"1. Identify the setting: Look for the aerobics studio and its features.
2. Observe the people present: Count the number of individuals and note their demographics (age, gender, etc.).
3. Analyze the attire: Examine what the people are wearing for their workout (e.g., workout clothes, shoes).
4. Observe the workout activities: Identify the types of exercises being performed (e.g., dance moves, stretching, cardio).
5. Note the group dynamics: Look for interactions between individuals (e.g., teamwork, encouragement).
6. Assess the instructor: Identify if there is a leader or instructor and their role in the workout.
7. Capture the overall atmosphere: Observe the energy level, music, and engagement of the participants."
v_2nDbYhgdw2A,The person in the yellow shirt performs the backspin as the first dance move.,What is the first dance move executed by the person wearing the yellow shirt in the video?,"1. Identify the video being referenced in the question.
2. Locate the person wearing the yellow shirt in the video.
3. Observe the actions of the person in the yellow shirt.
4. Determine the sequence of dance moves performed by the person.
5. Identify the first dance move executed by the person in the yellow shirt.
6. Provide a description of the first dance move."
v_nDHupsLdar0,The wall behind the man is cream-colored and there is a lamp visible at his back.,What is the color of the wall behind the man playing the harmonica?,"1. Identify the subject in the scene: locate the man playing the harmonica.
2. Determine the position of the wall in relation to the man: find the wall that is directly behind him.
3. Analyze the visual characteristics of the wall: observe the color of the wall.
4. Record the color of the wall as it appears in the scene."
v_IGZvj1J9tNc,"The players are running across the court in groups of three, while the one in the middle dribbles the ball and shoots it in the basket, and then they repeat the drill with a different player among the three, while the coach watches from outside the court.",What drill are the players performing in the video?,"1. Identify the video content related to players performing a drill.
2. Observe the players' actions and movements in the video.
3. Look for specific equipment or tools being used during the drill.
4. Note any formations or arrangements of the players.
5. Listen for any verbal instructions or commentary that may indicate the name of the drill.
6. Analyze the overall objective or goal of the drill as depicted in the video.
7. Compare the observed actions with known drills in the relevant sport or activity.
8. Conclude with the identification of the specific drill being performed."
v_QG2xYcN_bl0,The boy is doing a crisscrossing drill with orange agility cones on a basketball court.,What is the boy doing on the basketball court?,"1. Identify the subject in the scene: Look for the boy on the basketball court.
2. Observe the boy's actions: Determine what specific activity the boy is engaged in.
3. Analyze the environment: Note any relevant details about the basketball court that may influence the boy's actions (e.g., presence of a basketball, other players, or equipment).
4. Consider the context: Look for any additional elements that may provide insight into the boy's activity (e.g., scoreboards, time of day, or audience).
5. Summarize the boy's activity: Combine the observations to describe what the boy is doing on the basketball court."
v_vzUeFzhVYLg,The video starts with a woman on the second level of a diving platform in an indoor swimming pool with overhead lights. The woman runs to the edge and dives with a tuck and several turns into the pool.,Who is on the second level of the diving platform and what does she do?,"1. Identify the diving platform in the visual context.
2. Locate the second level of the diving platform.
3. Observe the individuals present on the second level.
4. Determine the gender of the individual in focus.
5. Identify the specific individual who is a female on the second level.
6. Observe and describe the actions or activities being performed by the identified female on the second level."
v_YU-dUWGOoD4,The gymnast is getting ready to perform on a pommel horse.,Which gymnastics equipment does the man put his hands on?,"1. Identify the man in the visual content.
2. Observe the position of the man's hands.
3. Look for any gymnastics equipment in the vicinity of the man.
4. Determine which piece of gymnastics equipment the man is interacting with using his hands.
5. Confirm the type of gymnastics equipment based on its characteristics and context."
v_kl-2y3jtPNE,The game being played in the field is cricket.,Can you describe the sports activity taking place in the field?,"1. Identify the location of the sports activity (the field).
2. Observe the participants involved in the activity (players, teams, etc.).
3. Determine the type of sport being played (e.g., soccer, football, baseball).
4. Analyze the actions and movements of the participants (running, passing, scoring).
5. Note any equipment or gear being used (balls, nets, protective gear).
6. Observe the environment and conditions of the field (grass, turf, weather).
7. Identify any spectators or audience present at the field.
8. Summarize the overall atmosphere and energy of the activity."
v_W9H2qVnIWXs,A golden retriever is being bathed in the video.,Can you describe the dog that is being bathed in the video?,"1. Identify the main subject of the video: the dog.
2. Observe the dog's physical characteristics:
   - Note the breed or type of dog.
   - Describe the dog's size (small, medium, large).
   - Observe the dog's color and any distinctive markings or patterns.
3. Analyze the dog's behavior during the bathing process:
   - Determine if the dog appears calm, excited, or anxious.
   - Note any specific actions the dog is taking (e.g., shaking, playing, standing still).
4. Observe the environment where the bathing is taking place:
   - Identify the location (e.g., indoors, outdoors, bathtub, shower).
   - Note any objects or tools being used for bathing (e.g., shampoo, hose, sponge).
5. Consider any interactions between the dog and the person bathing it:
   - Describe the demeanor of the person (gentle, playful, firm).
   - Note any verbal or physical interactions (e.g., petting, talking to the dog).
6. Summarize the overall scene and mood of the video:
   - Describe the atmosphere (fun, relaxed, chaotic).
   - Note any background sounds or music that contribute to the scene."
v_wFVukrQfQhI,"The two girls are playing racquetball wearing white T-shirts and shorts, and both are wearing safety glasses while playing.",Can you describe the outfits and equipment used by the two girls while playing in the well-lit racquetball court?,"1. Identify the two girls in the racquetball court.
2. Observe and describe the outfits worn by each girl, including colors, styles, and any notable features.
3. Examine the equipment used by each girl, such as racquets, balls, and any protective gear.
4. Note the lighting conditions in the racquetball court to understand how it affects the visibility of the outfits and equipment.
5. Summarize the overall appearance and setup of the scene, focusing on the outfits and equipment of the girls."
v_d09u-0k3LdE,The woman is wearing a red vest and holding a hammer attached to a string. She is standing in a net in a field with a red mat on the ground. She swings the hammer with the string and releases it through the open end of the netting.,Can you describe the woman in the video and what she is doing?,"1. Identify the woman in the video.
2. Observe her physical appearance (e.g., hair color, clothing, age).
3. Note any distinctive features or accessories (e.g., glasses, jewelry).
4. Determine her facial expressions and body language.
5. Analyze the context of the video (e.g., location, setting).
6. Describe the actions she is performing in the video.
7. Consider any interactions she has with other people or objects.
8. Summarize the overall mood or atmosphere of the scene."
v_UvOEuhS0V3E,"The woman in the first clip is wearing a white top and applying lipstick in a well-lit room in front of a mirror. The man in the next clip is sitting in front of the same mirror, wearing an olive T-shirt. He removes something from a box and wipes them on his eyebrows one at a time, before eating them.",Can you describe the location and activity of the man in the next clip?,"1. Identify the man in the clip.
2. Determine the location where the man is situated.
3. Describe the surroundings and context of the location.
4. Observe the activity the man is engaged in.
5. Note any relevant details about the man's actions or behavior.
6. Consider the time of day or any environmental factors that may influence the scene.
7. Summarize the overall scene, combining the location and activity of the man."
